feature,age_slope,age_corr,volume_corr,outcome_corr,univar_auc,p_MW_corr
T1w_WM_glszm_SmallAreaEmphasis,0.0001868518270536624,-0.07793238379298494,-0.06350890732522992,-0.5894352539337744,0.8402777777777777,0.000987952194395968
T1w_WM_glszm_SmallAreaHighGrayLevelEmphasis,5.666493741872594,0.26179227953759987,-0.012122966107145156,-0.02405858179321528,0.48765432098765427,1.0
T1w_WM_glszm_SmallAreaLowGrayLevelEmphasis,-1.1825937534221355e-05,-0.21742507240406003,-0.0240529937616567,-0.11895632108867556,0.40856481481481477,1.0
T1w_WM_glszm_ZoneEntropy,-0.004478381909128604,-0.11600511415249937,0.0030870152421377584,0.3328103814728114,0.6909722222222223,1.0
T1w_WM_glszm_ZonePercentage,-0.0011982187131394618,-0.2881775670890773,-0.21557656440928682,0.009356115141805942,0.49035493827160503,1.0
T1w_WM_glszm_ZoneVariance,967.8964798807851,0.2423454050030149,0.19785838317576696,-0.04277081207682716,0.4486882716049383,1.0
T1w_WM_gldm_DependenceEntropy,-0.0014085789470266593,-0.0711710532428809,0.08601839346581774,0.018712230283611884,0.48070987654320985,1.0
T1w_WM_gldm_DependenceNonUniformity,-284.6479201026519,-0.1351461189717225,0.37118142645829316,0.14034172712708912,0.5829475308641976,1.0
T1w_WM_gldm_DependenceNonUniformityNormalized,-0.0006006771893572286,-0.26481877987907504,-0.12569940189079684,0.08153186052145177,0.5462962962962963,1.0
T1w_WM_gldm_DependenceVariance,0.04564875457169468,0.24606413680557215,0.1213904431153129,-0.044107399954228015,0.5324074074074074,1.0
T1w_WM_gldm_GrayLevelNonUniformity,174.21543591764365,0.2754437278863814,0.5399704161039296,0.10024409080506368,0.5316358024691357,1.0
T1w_WM_gldm_GrayLevelVariance,-0.11879323789250802,-0.17196317365764616,-0.13222715287156733,0.19380524222312306,0.6118827160493827,1.0
T1w_WM_gldm_HighGrayLevelEmphasis,9.237566203406532,0.2739787729338588,0.01357000450189723,0.08286844839885264,0.554783950617284,1.0
T1w_WM_gldm_LargeDependenceEmphasis,0.17987615883921212,0.2684892164634172,0.14975239565245357,-0.04544398783162887,0.43827160493827155,1.0
T1w_WM_gldm_LargeDependenceHighGrayLevelEmphasis,372.97680395155555,0.2824787313397039,0.15483310823847196,0.04009763632202547,0.4760802469135802,1.0
T1w_WM_gldm_LargeDependenceLowGrayLevelEmphasis,-0.00014765364232239466,-0.05401015237047397,0.19625056273715355,-0.2820200421315791,0.5007716049382716,1.0
T1w_WM_gldm_LowGrayLevelEmphasis,-1.815402645085691e-05,-0.26597786511623567,-0.03804103157759342,-0.046780575709029715,0.4155092592592593,1.0
T1w_WM_gldm_SmallDependenceEmphasis,-0.0009894911145436236,-0.2955345386638334,-0.2046112290179433,-0.020048818161012734,0.5142746913580247,1.0
T1w_WM_gldm_SmallDependenceHighGrayLevelEmphasis,0.9680233008653197,0.06719474694317684,-0.2328123995112226,0.2018247694875282,0.6188271604938271,1.0
T1w_WM_gldm_SmallDependenceLowGrayLevelEmphasis,-5.507596032115612e-06,-0.2662837348315975,-0.14631165991382084,-0.01202929089660764,0.4594907407407407,1.0
T1w_WM_ngtdm_Busyness,-0.21524484001975278,-0.16653801081149125,0.3442021994983601,-0.0548001029734348,0.5316358024691358,1.0
T1w_WM_ngtdm_Coarseness,1.0665800152492746e-08,-0.06955753986084741,-0.8438890537019538,-0.08891955782772923,0.5509259259259259,1.0
T1w_WM_ngtdm_Complexity,-4.162980444839046,-0.16335052640929937,-0.15525114155251143,0.03341469693502123,0.5189043209876543,1.0
T1w_WM_ngtdm_Contrast,-0.0003076315886582168,-0.24422891851340103,-0.1425172036786932,0.12296608472087811,0.5713734567901234,1.0
T1w_WM_ngtdm_Strength,0.0003127220822796147,0.2256352595006149,-0.23937230690076536,0.07885868476665009,0.5154320987654321,1.0
PD_WM_firstorder_10Percentile,0.0342399401371414,0.07036613293929708,-0.18914399639848226,-0.37023484204003515,0.7106481481481481,1.0
PD_WM_firstorder_90Percentile,-0.014371519353082817,0.03163336793084391,0.2178275130233456,0.7805673204020958,0.9510030864197532,7.016185348880902e-08
PD_WM_firstorder_Energy,-302097.29182934994,0.1291414135069872,0.9882629107981222,0.2619712239705664,0.6215277777777778,1.0
PD_WM_firstorder_Entropy,-0.0029877013443728568,-0.1966420301655259,0.01971187857740048,-0.44508376317448267,0.7546296296296297,0.2544672649015949
PD_WM_firstorder_InterquartileRange,-0.027259488922950166,-0.02767316003721155,0.19059103479323433,0.5921084296885761,0.8148148148148148,0.0008795530694324186
PD_WM_firstorder_Kurtosis,0.018029859409509828,0.24831791365560682,0.05392629751109397,0.609484072094787,0.8283179012345678,0.0004083054394999314
PD_WM_firstorder_Maximum,-0.05625653682211069,0.06205935540631211,0.22326194610585892,0.8393771870077331,0.9556327160493827,2.2293205290175336e-09
